Település;Körzet;Év;Jogi_státusz;Nyaraló;Típus;Altípus;Panelprogram;Ingatlan_állapota;Építés_éve;Zárószint;Emelet;Tájolás;Kilátás;Lift;Lakáson_belüli_szintszám;Fűtés;Nettó_méret;Terasz_méret;Erkély_méret;Telek_méret;Telek_méret_mértékegysége;Szobaszám;Eladási_ár;Négyzetméterár
Miskolc;Győri kapu;2018;hasznalt;0;tarsashazi;panel;0;3;1970;10;3;;utcai;1;1;tav;51;0;0;0;nm;2 + 0;6910000;135490.20
Nyíregyháza;Belváros;2018;hasznalt;0;tarsashazi;tegla;0;3;1975;4;4;NY;utcai;0;0;tav;43;0;0;0;nm;1 + 1;8300000;193023.26
Debrecen;Belváros;2018;hasznalt;0;tarsashazi;tegla;;4;2004;2;2;NY;utcai;0;1;gaz_cirko;100;1;0;0;nm;2 + 1;26000000;260000.00
Érd;Érd;2018;hasznalt;0;csaladihaz;tegla;0;2;1985;;;D;;0;0;faszen_cirko;110;0;0;736;nm;2 + 3;21500000;195454.55
Sopron;Alsó Lővérek;2018;hasznalt;0;tarsashazi;tegla;0;3;1940;2;földszint;D;utcai;0;0;gaz_cserepkalyha;46;0;0;0;nm;1 + 0;15100000;328260.87
Győr;Révfalu;2018;hasznalt;0;tarsashazi;tegla;0;3;1963;4;2;ÉK;udvari;0;0;gaz_konvektor;62;0;4.30;0;nm;2 + 1;19200000;309677.42
Miskolc;Miskolc;2018;hasznalt;0;csaladihaz;tegla;0;3;1978;;;K;;0;1;vegyes_kazan;136;0;3;671;nm;3 + 2;17500000;128676.47
Nyíregyháza;Nyírbogdány;2018;hasznalt;0;tarsashazi;tegla;0;5;2012;4;3;DK;utcai;1;0;gaz_cirko;49;0;3;0;nm;1 + 1;15500000;316326.53
Szekszárd;Szekszárd;2018;hasznalt;0;csaladihaz;tegla;0;4;1965;;;D;;0;0;gaz_kazan;90.23;0;0;1129;nm;3 + 1;18000000;199490.19
Debrecen;Vénkert;2018;hasznalt;0;tarsashazi;tegla;0;3;1960;4;1;É;utcai;0;0;gaz_konvektor;43;0;0;0;nm;1 + 1;15300000;355813.95
Nyíregyháza;Örökösföld;2018;hasznalt;0;tarsashazi;panel;0;4;1990;10;3;NY;utcai;1;0;tav;66;0;2;0;nm;1 + 2;12800000;193939.39
Szolnok;Szolnok;2018;hasznalt;0;tarsashazi;tegla;0;3;1950;2;2;DNY;utcai;0;0;gaz_konvektor;70;0;0;0;nm;2 + 1;12125000;173214.29
Pécs;Szkókó;2018;hasznalt;0;csaladihaz;tegla;;4;1988;;;DNY;;0;1;gaz_cirko;200;0;0;596;nm;5 + 0;25000000;125000.00
Tatabánya;Napsugár lakópark;2018;hasznalt;0;tarsashazi;tegla;0;5;2009;4;1;DNY;utcai;0;0;hazkozponti;73;0;18;0;nm;3 + 0;27800000;380821.92
Debrecen;Fényes-udvar;2018;hasznalt;0;tarsashazi;panel;0;3;1970;10;5;K;utcai;1;0;tavegyedi;35;0;0;0;nm;1 + 1;12500000;357142.86
Győr;Győr-Sziget;2018;hasznalt;0;tarsashazi;tegla;0;5;2008;4;3;DNY;kertre_nezo;1;0;gaz_cirko;32;0;4;0;nm;1 + 0;14100000;440625.00
Békéscsaba;Külterület;2018;hasznalt;0;tanya;valyog;0;3;1932;;;É;;0;0;vegyes_cserepkalyha;75;0;0;1079;nm;2 + 0;1200000;16000.00
Debrecen;Belváros;2018;uj;0;tarsashazi;tegla;0;5;2017;3;1;NY;utcai;1;0;hazkozponti;34.47;0;0;0;nm;1 + 1;14293075;414652.60
