Település;Körzet;Év;Jogi_státusz;Nyaraló;Típus;Altípus;Panelprogram;Ingatlan_állapota;Építés_éve;Zárószint;Emelet;Tájolás;Kilátás;Lift;Lakáson_belüli_szintszám;Fűtés;Nettó_méret;Terasz_méret;Erkély_méret;Telek_méret;Telek_méret_mértékegysége;Szobaszám;Kiadási_ár;Négyzetméterár
Veszprém;Újtelep;2018;hasznalt;0;csaladihaz;tegla;0;4;1999;;;DK;;0;0;gaz_cirko;130;0;0;1000;nm;4 + 0;200000;1538.46
Tatabánya;Újváros;2018;hasznalt;0;tarsashazi;tegla;0;4;1976;5;3;DNY;udvari;0;1;tav;53;0;3.6;;;2 + 0;115000;2169.81
Békéscsaba;Kastély-szőlők;2019;hasznalt;0;csaladihaz;tegla;0;4;1986;;;DK;;0;1;gaz_cirko;90;;0;1500;nm;4 + 0;100000;1111.11
Debrecen;Belváros;2019;hasznalt;0;tarsashazi;tegla;0;4;1965;3;2;K;udvari;0;0;gaz_konvektor;38;0;2;;;1 + 0;90000;2368.42
Szolnok;Belváros;2019;hasznalt;0;tarsashazi;tegla;0;4;1975;4;4;DNY;utcai;0;1;gaz_konvektor;50;0;0;;;2 + 0;80000;1600.00
Pécs;Belváros;2019;hasznalt;0;tarsashazi;tegla;0;5;1940;2;1;D;utcai;0;0;gaz_cirko;66;0;0;;;2 + 0;90000;1363.64
Miskolc;Belváros;2019;hasznalt;0;tarsashazi;tegla;0;5;1940;4;4;D;utcai;1;0;tavegyedi;40;0;0;;;1 + 1;75000;1875.00
Székesfehérvár;Belváros;2019;hasznalt;0;tarsashazi;tegla;0;5;2004;3;1;ÉNY;udvari;1;1;tavegyedi;50;0;0;;;2 + 0;130000;2600.00
Szeged;Újszeged;2019;hasznalt;0;tarsashazi;tegla;0;4;2004;3;1;DK;utcai;0;0;gaz_cirko;41;0;6;;;1 + 0;70000;1707.32
Székesfehérvár;Ybl M. Lakótelep;2019;hasznalt;0;tarsashazi;csusztatott_zsalus;0;4;1965;4;2;DK;utcai;0;1;tav;37;0;0;;;1 + 1;80000;2162.16
Debrecen;Nagyerdő;2019;hasznalt;0;tarsashazi;tegla;0;5;1980;1;földszint;D;udvari;0;1;gaz_cirko;80;20;0;;;2 + 1;160000;2000.00
Debrecen;Úrrétje;2019;uj;0;tarsashazi;tegla;0;5;2018;2;2;NY;kertre_nezo;0;0;hazkozponti;63.97;40.56;0;;;1 + 2;190000;2970.14
Győr;Győr-Belváros;2019;hasznalt;0;tarsashazi;tegla;0;4;2007;6;2;K;udvari;1;0;gaz_cirko;46;0;4;;;2 + 0;110000;2391.30
Pécs;Belváros;2019;hasznalt;0;tarsashazi;tegla;0;4;1967;8;8;K;utcai;1;0;tav;57;0;2;0;nm;2 + 1;80000;1403.51
Kecskemét;Belváros;2019;hasznalt;0;csaladihaz;tegla;0;4;2002;;;K;;0;1;gaz_cirko;180;0;0;350;nm;4 + 1;150000;833.33
Kecskemét;Belváros;2019;hasznalt;0;tarsashazi;csusztatott_zsalus;0;3;1975;8;5;DK;utcai;1;1;tav;49;0;0;0;nm;2 + 0;95000;1938.78
Tatabánya;Újváros;2019;hasznalt;0;tarsashazi;tegla;0;4;1960;4;3;DNY;utcai;0;1;tavegyedi;53;0;0;;;2 + 0;100000;1886.79
Győr;Győr-Belváros;2019;hasznalt;0;tarsashazi;tegla;0;5;2002;4;4;DK;utcai;1;0;gaz_cirko;70;0;0;;;3 + 0;140000;2000.00
Kecskemét;Belváros;2019;hasznalt;0;tarsashazi;tegla;0;3;1990;3;1;DK;utcai;0;0;tavegyedi;50;0;0;;;2 + 0;80000;1600.00
Debrecen;Nyulas;2019;hasznalt;0;tarsashazi;tegla;0;5;2011;2;2;D;utcai;0;1;gaz_cirko;50;0;4;;;2 + 0;120000;2400.00
Tatabánya;Cseri lakótelep;2019;hasznalt;0;tarsashazi;csusztatott_zsalus;0;5;1970;4;3;D;utcai;0;0;tav;56;0;4;;;2 + 0;80000;1428.57
Miskolc;Avas II.;2019;hasznalt;0;tarsashazi;panel;1;4;1980;10;földszint;ÉNY;utcai;1;0;tavegyedi;55;0;0;;;1 + 2;70000;1272.73
Sopron;Belváros;2019;hasznalt;0;tarsashazi;tegla;0;5;1960;3;2;D;udvari;0;1;gaz_cirko;87;0;6;;;3 + 0;140000;1609.20
Nyíregyháza;Örökösföld;2019;hasznalt;0;tarsashazi;panel;0;5;1988;10;2;NY;utcai;1;0;tavegyedi;55;0;3;;;2 + 0;80000;1454.55
Debrecen;Nagyerdő alja;2019;hasznalt;0;tarsashazi;tegla;0;5;1990;3;3;D;udvari;0;1;gaz_cirko;77;0;3;;;2 + 1;160000;2077.92
Kecskemét;Belváros;2019;hasznalt;0;tarsashazi;tegla;0;5;1975;Földszintes;földszint;DNY;utcai;0;0;gaz_konvektor;24;0;0;;;1 + 0;80000;3333.33
Kecskemét;Belváros;2019;hasznalt;0;tarsashazi;tegla;0;5;1975;Földszintes;földszint;DNY;utcai;0;0;gaz_konvektor;32;0;0;;;1 + 1;90000;2812.50
Kecskemét;Belváros;2019;hasznalt;0;tarsashazi;tegla;0;5;1975;Földszintes;földszint;DNY;udvari;0;0;gaz_konvektor;15;0;0;;;1 + 0;70000;4666.67
Debrecen;Nagyerdő;2019;hasznalt;0;tarsashazi;tegla;0;5;2006;3;1;D;utcai;1;1;gaz_cirko;49;0;0;;;2 + 0;100000;2040.82
Kecskemét;Belváros;2019;hasznalt;0;tarsashazi;tegla;0;4;1970;4;4;D;kertre_nezo;0;0;tavegyedi;28;0;0;;;1 + 0;75000;2678.57
Miskolc;Népkert;2019;hasznalt;0;tarsashazi;tegla;0;5;1964;1;földszint;D;utcai;0;0;gaz_cirko;85;0;4;;;2 + 2;135000;1588.24
Szolnok;Szolnok;2019;hasznalt;0;tarsashazi;tegla;0;4;1960;4;2;K;utcai;0;0;gaz_konvektor;52;0;0;;;2 + 0;75000;1442.31
Szekszárd;Szekszárd;2019;hasznalt;0;tarsashazi;panel;1;5;1984;4;1;K;utcai;0;1;tavegyedi;59;0;3.18;;;2 + 1;80000;1355.93
Kecskemét;Széchenyiváros;2019;hasznalt;0;tarsashazi;panel;0;4;1980;10;10;DK;utcai;1;1;tavegyedi;34;0;4;;;1 + 0;85000;2500.00
Miskolc;Avas I.;2019;hasznalt;0;tarsashazi;panel;0;5;1972;10;9;NY;utcai;1;0;tav;35;0;0;;;1 + 1;80000;2285.71
Érd;Parkváros;2019;hasznalt;0;tarsashazi;tegla;0;5;2017;3;1;DNY;udvari;0;0;elektromos_fancoil;46;0;12;;;1 + 1;150000;3260.87
Kecskemét;Kósafalu;2019;hasznalt;0;csaladihaz;tegla;0;4;1990;;;DNY;;0;0;faszen_cserepkalyha;88;0;0;400;nm;3 + 0;120000;1363.64
Kecskemét;Belváros;2019;hasznalt;0;tarsashazi;tegla;0;4;1986;9;7;NY;utcai;1;1;tavegyedi;72;0;5;;;3 + 0;120000;1666.67
Debrecen;Sestakert;2019;hasznalt;0;tarsashazi;tegla;0;5;1978;4;1;K;utcai;0;0;gaz_konvektor;43;0;0;;;2 + 0;115000;2674.42
Pécs;Belváros;2019;hasznalt;0;tarsashazi;tegla;0;5;1985;2;1;K;utcai;0;1;gaz_konvektor;35;0;0;;;1 + 0;75000;2142.86
Székesfehérvár;Palotaváros;2019;hasznalt;0;tarsashazi;panel;1;5;1985;10;magasföldszint;D;kertre_nezo;1;1;tav;53;0;4;;;2 + 0;120000;2264.15
Győr;Pinnyéd;2019;hasznalt;0;csaladihaz;tegla;0;4;1974;;;DNY;;0;1;gaz_cirko;180;20;0;900;nm;6 + 0;150000;833.33
Szombathely;Belváros;2019;hasznalt;0;csaladihaz;tegla;0;4;1950;;;DNY;;0;0;elektromos_cirko;142;8;0;1;nm;3 + 0;190000;1338.03
Kecskemét;Belváros;2019;hasznalt;0;tarsashazi;tegla;0;5;1998;2;2;DK;utcai;0;0;gaz_cirko;80;0;4;;;2 + 0;120000;1500.00
Debrecen;Tócó-völgyi lakótelep;2019;hasznalt;0;tarsashazi;tegla;0;4;1980;4;4;NY;udvari;0;1;tav;56;0;0;;;2 + 0;90000;1607.14
Debrecen;Úrrétje;2019;hasznalt;0;csaladihaz;tegla;0;4;1968;;;K;;0;0;gaz_konvektor;74;0;0;1080;nm;2 + 0;120000;1621.62
Szeged;Tarján;2019;hasznalt;0;tarsashazi;panel;0;5;1972;5;5;DNY;kertre_nezo;0;1;tav;47;0;3;;;1 + 1;85000;1808.51
Győr;Győr-Belváros;2019;hasznalt;0;tarsashazi;tegla;0;5;1970;3;3;DK;utcai;0;0;gaz_cirko;53;0;2;;;2 + 0;125000;2358.49
Zalaegerszeg;Páterdomb;2019;hasznalt;0;tarsashazi;tegla;0;4;1979;4;3;D;utcai;0;0;gaz_cirko;56;0;3;;;2 + 0;80000;1428.57
Kecskemét;Rendőrfalu;2019;hasznalt;0;hazresz;tegla;0;4;1970;;;É;;0;1;elektromos_infra;30;0;0;100;nm;1 + 0;60000;2000.00
Pécs;Egyetemváros;2019;hasznalt;0;tarsashazi;panel;0;5;1980;4;4;D;utcai;0;0;tavegyedi;36;0;0;;;2 + 0;70866;1968.50
Debrecen;Belváros;2019;hasznalt;0;tarsashazi;tegla;0;4;1965;3;2;K;udvari;0;0;gaz_konvektor;38;0;0;;;1 + 0;85000;2236.84
Győr;Győr-Belváros;2019;hasznalt;0;tarsashazi;tegla;0;5;2019;5;1;D;utcai;1;1;gaz_cirko;58.5;0;0;;;2 + 0;150000;2564.10
Dunaújváros;Béke városrész;2019;hasznalt;0;tarsashazi;panel;1;4;1980;4;4;D;utcai;0;0;tavegyedi;47;0;0;;;2 + 0;69000;1468.09
Győr;Győr-Belváros;2019;hasznalt;0;tarsashazi;tegla;0;5;1960;4;3;ÉNY;utcai;0;0;tav;51;0;0;;;2 + 0;100000;1960.78
Kecskemét;Széchenyiváros;2019;hasznalt;0;tarsashazi;panel;1;4;1970;10;10;D;utcai;1;1;tavegyedi;55;0;0;;;2 + 1;75000;1363.64
Pécs;Egyetemváros;2019;hasznalt;0;tarsashazi;panel;0;3;1980;4;1;D;utcai;0;1;tavegyedi;35;0;0;;;1 + 1;65000;1857.14
Debrecen;Belváros;2019;hasznalt;0;tarsashazi;tegla;0;4;1952;3;2;K;udvari;0;1;gaz_konvektor;55;0;0;;;2 + 0;97000;1763.64
Szeged;Belváros;2019;hasznalt;0;tarsashazi;tegla;0;5;1975;4;1;K;kertre_nezo;0;0;gaz_cirko;55;0;3;;;2 + 0;130000;2363.64
Szeged;Belváros;2019;hasznalt;0;tarsashazi;tegla;0;3;1968;5;3;DNY;udvari;0;1;gaz_cirko;77;0;6;;;3 + 0;100000;1298.70
Székesfehérvár;Belváros;2019;hasznalt;0;tarsashazi;csusztatott_zsalus;0;5;1970;9;2;D;utcai;1;1;tav;55;0;0;;;2 + 0;130000;2363.64
Debrecen;Belváros;2019;hasznalt;0;tarsashazi;tegla;0;4;2000;3;2;ÉNY;kertre_nezo;0;0;gaz_cirko;70;0;0;;;1 + 2;105000;1500.00
Zalaegerszeg;Belváros;2019;hasznalt;0;tarsashazi;tegla;0;4;1970;9;6;NY;utcai;1;1;gaz_konvektor;62;0;4;;;2 + 0;80000;1290.32
